Waymar Royce,White Walker,Ice sword,Blade,Unknown,Beyond the Wall,House Royce,Night’s Watch,Minor Character
Gared,White Walker,Ice sword,Blade,Unknown,Beyond the Wall,Night’s Watch,No Second Allegiance,Minor Character
Will,Ned Stark,Sword (Ice),Blade,Deserting the Night’s Watch,Winterfell,Night’s Watch,No Second Allegiance,Minor Character
Stag,Direwolf,Direwolf teeth,Animal,Unknown,Winterfell,Unknown,No Second Allegiance,Background Extra
Direwolf,Stag,Antler,Animal,Unknown,Winterfell,Unknown,No Second Allegiance,Background Extra
Jon Arryn,Lysa Arryn,Poison,Poison,Petyr Baelish persuaded Lysa to do so for reasons unknown,King’s Landing,House Arryn,No Second Allegiance,Minor Character
Dothraki man,Dothraki man,Arakh,Blade,A Dothraki wedding without at least three deaths is a dull affair,Pentos,Dothraki,No Second Allegiance,Background Extra
Catspaw assassin,Summer,Direwolf teeth,Animal,Attempting to kill Bran Stark,Winterfell,Unknown,No Second Allegiance,Background Extra
Mycah,Sandor “the Hound” Clegane,Unknown (likely a sword),Unknown,Joffrey has him killed after Arya attacks Joffrey,Kingsroad,Smallfolk,No Second Allegiance,Secondary Major
Lady,Ned Stark,Knife,Blade,"Robert Baratheon orders that Lady be killed to appease Cersei, who wants revenge after Nymeria attacked Joffrey",Kingsroad,House Stark,No Second Allegiance,Secondary Major
Ser Hugh of the Vale,Gregor “the Mountain” Clegane,Spear,Polearm,Killed during a tournament,King’s Landing,House Arryn,No Second Allegiance,Minor Character
Clegane’s horse,Gregor “the Mountain” Clegane,Sword,Blade,Gregor was angry at being unhorsed in the tournament by Loras Tyrell,King’s Landing,House Clegane,No Second Allegiance,Background Extra
Stark soldier,Tribesman,Bolo,Other,Attacked while helping Catelyn Stark take Tyrion Lannister to the Vale,Eastern Road,House Stark,No Second Allegiance,Background Extra
Tribesman,Bronn,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,Unknown,No Second Allegiance,Background Extra
Tribesman,Bronn,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,Unknown,No Second Allegiance,Background Extra
Tribesman,Bronn,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,Unknown,No Second Allegiance,Background Extra
Stark soldier,Tribesman,Mace,Mace,Attacked while helping Catelyn Stark take Tyrion Lannister to the Vale,Eastern Road,House Stark,No Second Allegiance,Background Extra
Tribesman,Tyrion Lannister,Shield,Other,Attacked Catelyn Stark,Eastern Road,Unknown,No Second Allegiance,Background Extra
Tribesman,Rodrik Cassel,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,Unknown,No Second Allegiance,Background Extra
Tribesman,Rodrik Cassel,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,Unknown,No Second Allegiance,Background Extra
Tribesman,Bronn,Knife,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,Unknown,No Second Allegiance,Background Extra
Stark soldier,Lannister soldier,Spear,Polearm,Jamie Lannister attacked because Catelyn Stark had taken Tyrion Lannister prisoner,King’s Landing,House Stark,No Second Allegiance,Background Extra
Stark soldier,Lannister soldier,Spear,Polearm,Jamie Lannister attacked because Catelyn Stark had taken Tyrion Lannister prisoner,King’s Landing,House Stark,No Second Allegiance,Background Extra
Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,No Second Allegiance,Background Extra
Lannister soldier,Ned Stark,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,No Second Allegiance,Background Extra
Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,No Second Allegiance,Background Extra
Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,No Second Allegiance,Background Extra
Jory Cassel,Jaime Lannister,Knife,Blade,Attacked Jaime in defense of Ned Stark,King’s Landing,House Stark,No Second Allegiance,Secondary Major
Wallen,Robb Stark,Sword,Blade,Attacked Bran Stark,Winterfell,Free Folk,No Second Allegiance,Minor Character
Wildling,Robb Stark,Sword,Blade,Attacked Bran Stark,Winterfell,Free Folk,No Second Allegiance,Background Extra
Stiv,Theon Greyjoy,Arrow,Arrow,Attacked Bran Stark,Winterfell,Free Folk,No Second Allegiance,Minor Character
Vardis Egen,Bronn,Sword,Blade,Defeated in a trial by combat to determine Tyrion Lannister’s fate,The Eyrie,House Egen,House Arryn,Minor Character
Viserys Targaryen,Khal Drogo,Molten gold,Fire/Burning,"Threatened Daenerys Targaryen and her unborn child, drew his sword in the sacred city",Vaes Dothrak,House Targaryen,No Second Allegiance,Major Character
