Knight,Sandor “the Hound” Clegane,Mace,Mace,Defeated in nameday tournament for Joffrey Baratheon,King’s Landing,Unknown,No Second Allegiance,Background Extra
The Silver,Unknown,Starvation,Other,No food or water in the Red Waste,Red Waste,Dothraki,House Targaryen,Minor Character
Maester Cressen,Melisandre “the Red Woman” of Asshai,Poison (magic?),Poison,Tried to kill Melisandre,Dragonstone,House Baratheon of Dragonstone,No Second Allegiance,Minor Character
Barra (Baratheon illegitimate daughter),Janos Slynt,Knife,Blade,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,No Second Allegiance,Minor Character
Robert Baratheon’s illegitimate son,City watch guard,Knife,Blade,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,No Second Allegiance,Background Extra
Robert Baratheon’s illegitimate son,City watch guard,Water (drowning),Other,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,No Second Allegiance,Background Extra
Robert Baratheon’s illegitimate son,City watch guard,Unknown,Unknown,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,No Second Allegiance,Background Extra
Rakharo,Unknown Dothraki,Unknown,Unknown,Unknown (possibly as a challenge to Daenerys Targaryen’s khalasar),Red Waste,Dothraki,House Targaryen,Secondary Major
Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,No Second Allegiance,Background Extra
Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,No Second Allegiance,Background Extra
Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,No Second Allegiance,Background Extra
Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,No Second Allegiance,Background Extra
Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,No Second Allegiance,Background Extra
Yoren,Amory Lorch,Sword,Blade,Refused to hand over Gendry,Riverlands,Night’s Watch,No Second Allegiance,Secondary Major
Night’s Watch recruit,Lannister soldier,Spear,Polearm,Attacked after seeing Yoren killed,Riverlands,Night’s Watch,No Second Allegiance,Background Extra
Lommy Greenhands,Polliver,Sword (Needle),Blade,Killed after asking to be carried,Riverlands,Smallfolk,No Second Allegiance,Minor Character
Rennick,Grey Wind,Direwolf teeth,Animal,Battle between Lannister and Stark forces,Oxcross,House Lannister,No Second Allegiance,Minor Character
Lannister soldier,Grey Wind,Direwolf teeth,Animal,Battle between Lannister and Stark forces,Oxcross,House Lannister,No Second Allegiance,Background Extra
Prisoner,The Tickler,Rat,Animal,Tortured for information about the Brotherhood without Banners,Harrenhal,Unknown,No Second Allegiance,Background Extra
Renly Baratheon,Melisandre “the Red Woman” of Asshai,Shadow Demon,Magic,Killed so that Stannis Baratheon would have fewer enemies,Storm’s End,House Baratheon of Storm’s End,No Second Allegiance,Major Character
Baratheon of Storm’s End guard,Brienne of Tarth,Sword,Blade,Attacked Brienne after assuming she killed Renly Baratheon,Storm’s End,House Baratheon of Storm’s End,No Second Allegiance,Background Extra
Baratheon of Storm’s End guard,Brienne of Tarth,Sword,Blade,Attacked Brienne after assuming she killed Renly Baratheon,Storm’s End,House Baratheon of Storm’s End,No Second Allegiance,Background Extra
The Tickler,Jaqen H’ghar,Unknown,Unknown,Arya Stark orders his death as part of her three deaths from Jaqen,Harrenhal,House Clegane,No Second Allegiance,Minor Character
Rodrik Cassel,Theon Greyjoy,Sword,Blade,Refused to stand down when Theon took over Winterfell,Winterfell,House Cassel,House Stark,Secondary Major
Wildling,Night’s Watch brother,Arrow,Arrow,Killed for being a wildling lookout,Beyond the Wall,Free Folk,No Second Allegiance,Background Extra
Wildling,Qhorin Halfhand,Sword,Blade,Killed for being a wildling lookout,Beyond the Wall,Free Folk,No Second Allegiance,Background Extra
High Septon,Peasants,Hands,Hands,Literally torn apart in a city riot,King’s Landing,Faith of the Seven,No Second Allegiance,Background Extra
Peasant,Sandor “the Hound” Clegane,Sword,Blade,Killed in a city riot,King’s Landing,Smallfolk,No Second Allegiance,Background Extra
Peasant,Sandor “the Hound” Clegane,Sword,Blade,Killed in a city riot,King’s Landing,Smallfolk,No Second Allegiance,Background Extra
Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,Smallfolk,No Second Allegiance,Background Extra
Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,Smallfolk,No Second Allegiance,Background Extra
Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,Smallfolk,No Second Allegiance,Background Extra
Amory Lorch,Jaqen H’ghar,Poison dart,Poison,Named by Arya Stark after he finds her with one of Tywin’s letters,Harrenhal,House Lannister,No Second Allegiance,Minor Character
Drennan,Osha,Knife,Blade,"Killed so that Osha could escape from Winterfell with Bran Stark, Rickon Stark and Hodor",Winterfell,House Greyjoy,No Second Allegiance,Minor Character
Irri,Unknown,Unknown,Unknown,Killed in a plot by Xaro Xhoan Daxos and Pyat Pree to cover up stealing the dragon eggs,Qarth,Dothraki,House Targaryen,Secondary Major
Alton Lannister,Jaime Lannister,Hands,Hands,Killed in Jaime’s attempt to escape imprisonment,Robb Stark’s camp,House Lannister,No Second Allegiance,Minor Character
Torrhen Karstark,Jaime Lannister,Hands,Hands,Killed in Jaime’s attempt to escape imprisonment,Robb Stark’s camp,House Karstark,House Stark,Minor Character
The Spice King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,No Second Allegiance,Secondary Major
The Silk King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,No Second Allegiance,Background Extra
The Copper King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,No Second Allegiance,Background Extra
Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,No Second Allegiance,Background Extra
Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,No Second Allegiance,Background Extra
Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,No Second Allegiance,Background Extra
Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,No Second Allegiance,Background Extra
Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,No Second Allegiance,Background Extra
Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,No Second Allegiance,Background Extra
Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,No Second Allegiance,Background Extra
Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,No Second Allegiance,Background Extra
Billy,Theon Greyjoy,Fire,Fire/Burning,Theon needed to fool everyone into thinking he had killed Bran and Rickon Stark,Winterfell,Smallfolk,No Second Allegiance,Minor Character
Jack,Theon Greyjoy,Fire,Fire/Burning,Theon needed to fool everyone into thinking he had killed Bran and Rickon Stark,Winterfell,Smallfolk,No Second Allegiance,Minor Character
Matthos Seaworth,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Seaworth,House Baratheon of Dragonstone,Secondary Major
Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Accident,Blunt object,Bludgeon,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Sandor “the Hound” Clegane,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Sandor “the Hound” Clegane,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,No Second Allegiance,Background Extra
